ratio,sol_nodes_num,sol_nodes_ratio_origin,sol_nodes_ratio,remain_ratio_origin,remain_ratio
0.01,1050,0.873544093,0.981510217,0.873544093,0.981510217
0.01,1058,0.880199667,0.98898839,0.880199667,0.98898839
0.01,1039,0.864392679,0.971227729,0.865112406,0.972036411
0.01,1021,0.849417637,0.954401839,0.850124896,0.955196512
0.01,1039,0.864392679,0.971227729,0.864392679,0.971227729
0.01,1020,0.848585691,0.953467069,0.849292256,0.954260962
0.01,1041,0.866056572,0.973097272,0.866056572,0.973097272
0.01,1019,0.847753744,0.952532297,0.848459617,0.953325412
0.01,1042,0.866888519,0.974032044,0.867610325,0.974843062
0.01,1038,0.863560732,0.970292957,0.863560732,0.970292957
0.01,1030,0.856905158,0.962814784,0.856905158,0.962814784
0.01,1048,0.8718802,0.979640674,0.8718802,0.979640674
0.01,1036,0.861896839,0.968423415,0.861896839,0.968423415
0.01,1016,0.845257903,0.949727981,0.845257903,0.949727981
0.01,1024,0.851913478,0.957206155,0.851913478,0.957206155
0.01,1026,0.853577371,0.959075698,0.853577371,0.959075698
0.01,1060,0.881863561,0.990857934,0.881863561,0.990857934
0.01,1042,0.866888519,0.974032044,0.866888519,0.974032044
0.01,1038,0.863560732,0.970292957,0.864279767,0.971100862
0.01,1038,0.863560732,0.970292957,0.865,0.971910112
0.01,1040,0.865224626,0.972162501,0.865224626,0.972162501
0.01,1035,0.861064892,0.967488643,0.861781848,0.968294211
0.01,1035,0.861064892,0.967488643,0.861064892,0.967488643
0.01,1028,0.855241265,0.960945242,0.855241265,0.960945242
0.01,1041,0.866056572,0.973097272,0.866056572,0.973097272
0.01,1038,0.863560732,0.970292957,0.863560732,0.970292957
0.01,1039,0.864392679,0.971227729,0.864392679,0.971227729
0.01,1036,0.861896839,0.968423415,0.861896839,0.968423415
0.01,1026,0.853577371,0.959075698,0.853577371,0.959075698
0.01,1032,0.858569052,0.964684328,0.858569052,0.964684328
0.01,1035,0.861064892,0.967488643,0.861064892,0.967488643
0.01,1040,0.865224626,0.972162501,0.865945046,0.972971962
0.01,1022,0.850249584,0.955336611,0.850249584,0.955336611
0.01,1050,0.873544093,0.981510217,0.873544093,0.981510217
0.01,1046,0.870216306,0.97777113,0.871666667,0.979400749
0.01,1051,0.87437604,0.982444989,0.87510408,0.983263011
0.01,1045,0.869384359,0.976836358,0.869384359,0.976836358
0.01,1036,0.861896839,0.968423415,0.861896839,0.968423415
0.01,1050,0.873544093,0.981510217,0.873544093,0.981510217
0.01,1036,0.861896839,0.968423415,0.861896839,0.968423415
0.01,1053,0.876039933,0.984314531,0.876039933,0.984314531
0.01,1021,0.849417637,0.954401839,0.849417637,0.954401839
0.01,1021,0.849417637,0.954401839,0.849417637,0.954401839
0.01,1045,0.869384359,0.976836358,0.869384359,0.976836358
0.01,1029,0.856073211,0.961880012,0.856786012,0.962680912
0.01,1053,0.876039933,0.984314531,0.876039933,0.984314531
0.01,1044,0.868552413,0.975901588,0.868552413,0.975901588
0.01,1036,0.861896839,0.968423415,0.862614488,0.969229762
0.01,1045,0.869384359,0.976836358,0.869384359,0.976836358
0.01,1035,0.861064892,0.967488643,0.861781848,0.968294211
0.02,1030,0.856905158,0.962814784,0.856905158,0.962814784
0.02,1030,0.856905158,0.962814784,0.857618651,0.963616462
0.02,1016,0.845257903,0.949727981,0.845257903,0.949727981
0.02,1030,0.856905158,0.962814784,0.856905158,0.962814784
0.02,1034,0.860232945,0.966553871,0.860232945,0.966553871
0.02,1042,0.866888519,0.974032044,0.867610325,0.974843062
0.02,1026,0.853577371,0.959075698,0.855,0.960674157
0.02,1014,0.84359401,0.947858438,0.84429642,0.948647663
0.02,1031,0.857737105,0.963749556,0.857737105,0.963749556
0.02,1045,0.869384359,0.976836358,0.869384359,0.976836358
0.02,1024,0.851913478,0.957206155,0.851913478,0.957206155
0.02,1037,0.862728785,0.969358185,0.862728785,0.969358185
0.02,1046,0.870216306,0.97777113,0.870216306,0.97777113
0.02,1023,0.851081531,0.956271383,0.851081531,0.956271383
0.02,1030,0.856905158,0.962814784,0.856905158,0.962814784
0.02,1017,0.84608985,0.950662753,0.8475,0.952247191
0.02,1047,0.871048253,0.978705902,0.871048253,0.978705902
0.02,1061,0.882695507,0.991792704,0.882695507,0.991792704
0.02,1027,0.854409318,0.96001047,0.856547123,0.962412498
0.02,1038,0.863560732,0.970292957,0.865,0.971910112
0.02,1039,0.864392679,0.971227729,0.864392679,0.971227729
0.02,1019,0.847753744,0.952532297,0.847753744,0.952532297
0.02,1017,0.84608985,0.950662753,0.8475,0.952247191
0.02,1029,0.856073211,0.961880012,0.856073211,0.961880012
0.02,1029,0.856073211,0.961880012,0.856073211,0.961880012
0.02,1038,0.863560732,0.970292957,0.864279767,0.971100862
0.02,1042,0.866888519,0.974032044,0.867610325,0.974843062
0.02,1025,0.852745424,0.958140926,0.852745424,0.958140926
0.02,1017,0.84608985,0.950662753,0.84608985,0.950662753
0.02,1032,0.858569052,0.964684328,0.86,0.966292135
0.02,1022,0.850249584,0.955336611,0.850249584,0.955336611
0.02,1020,0.848585691,0.953467069,0.848585691,0.953467069
0.02,1031,0.857737105,0.963749556,0.857737105,0.963749556
