#Protein A	Protein B
2	351
2	427
2	476
2	506
2	950
2	1200
2	1361
2	1558
2	1562
2	1743
2	2720
2	2885
2	3553
2	3586
2	3964
2	4128
2	4353
2	5908
2	6606
2	7052
2	7301
2	7416
2	10724
2	22983
2	55729
2	204851
12	125
12	351
12	1215
12	2064
12	2153
12	5422
12	11269
12	58516
12	80262
12	81609
16	1017
16	2113
16	2335
16	6777
16	6872
16	7412
16	7453
16	10040
16	29904
16	51520
16	54888
18	7915
19	316
19	1387
19	1457
19	1459
19	1741
19	1838
19	1956
19	3984
19	4008
19	5360
19	6641
19	7052
19	7074
19	7402
19	7508
19	9231
19	9826
19	10558
19	10594
19	23365
19	51366
24	10765
29	351
29	8924
29	9702
29	11190
32	919
32	3065
32	3141
32	5562
32	10075
32	54880
36	1956
36	3172
36	6872
36	7837
36	23197
36	54915
48	351
48	4882
48	5578
48	8880
87	695
87	815
87	867
87	1017
87	1605
87	2203
87	2395
87	2885
87	3172
87	3383
87	3688
87	5338
87	5341
87	5663
87	5747
87	5777
87	6232
87	6714
87	7014
87	7430
87	8648
87	8826
87	9124
87	9282
87	9815
87	22919
87	23022
87	23197
87	50717
87	55626
91	4088
91	4089
91	5594
91	7048
91	9392
91	10956
91	57154
94	2658
94	3678
94	7040
94	7043
94	7048
94	7049
94	9392
94	51366
94	58533
103	1408
103	1956
103	2078
103	3428
103	6045
103	6872
103	7052
103	8452
103	9447
103	9734
103	23405
103	27161
103	50943
103	93380
104	351
104	6942
104	51663
109	154
109	9498
109	56110
111	2778
111	5578
112	2778
112	3964
113	2547
113	3172
113	5580
117	801
118	119
118	120
118	476
118	667
118	801
118	1017
118	3065
118	3428
118	5315
118	5578
118	5580
118	6595
118	6709
118	6711
118	7170
118	7171
118	8826
118	22919
118	25942
118	64225
118	283420
118	286336
119	120
119	351
119	801
119	2534
119	3172
119	5578
119	5580
119	9475
119	22895
120	1017
120	3064
120	5578
120	6045
120	22919
120	54778
120	286336
125	126
125	3172
125	7531
125	11213
130	3172
130	6235
140	23066
140	55705
140	65123
140	113174
141	3172
141	54464
141	84656
142	752
142	942
142	1017
142	1387
142	1956
142	2033
142	2074
142	2078
142	2113
142	2289
142	2335
142	2547
142	2631
142	3002
142	3065
142	3091
142	3217
142	3551
142	3586
142	3980
142	4771
142	4772
142	5422
142	5469
142	5562
142	5591
142	5594
142	5747
142	6594
142	6667
142	6688
142	6749
142	6789
142	6886
142	7155
142	7189
142	7412
142	7508
142	7520
142	7704
142	8353
142	8914
142	9184
142	9282
142	9641
142	9734
142	9918
142	9924
142	9967
142	10075
142	10625
142	10664
142	11009
142	11198
142	23054
142	29843
142	29904
142	51365
142	57634
142	84142
142	84464
142	91608
142	149628
143	3172
143	4088
143	6872
143	22938
153	2885
153	9228
154	157
154	163
154	476
154	493
154	506
154	634
154	801
154	821
154	920
154	928
154	968
154	1603
154	1778
154	2040
154	2078
154	2769
154	2778
154	2782
154	2869
154	2885
154	3172
154	3190
154	3192
154	3419
154	3480
154	3553
154	3570
154	4162
154	4522
154	5580
154	5591
154	5708
154	5903
154	6184
154	6714
154	7385
154	7416
154	7555
154	8490
