ID,NUM,Drug_num,score,rank,SMILES(Standardized),Name,CAS,Formula,MolWt
TN1853,1,AUTOGEN_Drug_1,0.00070831,4,OC[C@H]1[C@H](CO[C@@H]1c1ccc(c(c1)OC)O)Cc1ccc(c(c1)OC)O,Lariciresinol,27003-73-2,C20H24O6,360.4
TN2335,2,AUTOGEN_Drug_2,0.000776065,2,OC[C@]1(C)[C@H](CC[C@]2([C@H]1CC[C@@]1([C@@H]2C=CC2=C3[C@]([C@@H](C[C@@]12C)O)(CO)CCC(C3)(C)C)C)C)O[C@@H]1O[C@H](C)[C@@H]([C@@H]([C@H]1O)O)O,Prosaikogenin D,103629-72-7,C36H58O8,618.84
T19971,3,AUTOGEN_Drug_3,0.000805505,8,C/C=C/C[C@H]([C@H]([C@H]1C(=O)N[C@@H]([C@H](O)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)O)C,Cyclosporin C,59787-61-0,C62H111N11O13,1218.61
TN2289,4,AUTOGEN_Drug_4,0.000587053,15,O[C@@H]1[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@H]([C@@H]([C@H]2O)O)O)[C@@H](O[C@@H]([C@H]1O)C(=O)O)O[C@@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)O)C)C)C,Licorice-saponin H2,118441-85-3,C42H62O16,822.92
TN2237,5,AUTOGEN_Drug_5,0.00071168,2,OC[C@H]1O[C@@H](OC(=O)[C@]2(C)CCC[C@@]3([C@@H]2CC[C@@]24[C@H]3CC[C@](C4)(C(=C)C2)O)C)[C@@H]([C@H]([C@@H]1O)O)O,Steviol-???€???9-???€??婳-???€??媑lucoside,1185737-16-9,C26H40O8,480.59
TN1983,6,AUTOGEN_Drug_6,0.00253445,1,Oc1cc(O)c2c(c1)O[C@H]([C@H](C2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)c1ccc(c(c1)O)O,Neoisoastilbin,54141-72-9,C21H22O11,450.4
T7030|TN1383,7,AUTOGEN_Drug_7,0.000725664,5,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]2[C@@H]3CC[C@]3([C@H]2C[C@H]2[C@@H]3C(=C(O2)CC[C@@H](CO[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)C)C)C)C)[C@@H]([C@H]([C@H]1O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,anemarsaponin B,139051-27-7,C45H74O18,903.06
TN1823,8,AUTOGEN_Drug_8,0.00198428,1,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(cc2)O)[C@@H]([C@H]([C@H]1O)O)O,Kaempferol 3-O-??-D-galactopyranoside,23627-87-4,C21H20O11,448.38
TN1739,9,AUTOGEN_Drug_9,0.00134923,1,COc1cc(CNC(=O)CCCCCCCC(C)C)ccc1O,Homodihydrocapsaicin I,20279-06-5,C19H31NO3,321.45
TN1513,10,AUTOGEN_Drug_10,0.00181523,1,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O)O,Clitorin,55804-74-5,C33H40O19,740.66
