#Protein A	Protein B
1	3175
1	80854
2	60
2	250
2	259
2	292
2	293
2	309
2	310
2	347
2	348
2	351
2	354
2	412
2	427
2	476
2	498
2	506
2	523
2	526
2	566
2	567
2	827
2	950
2	998
2	1022
2	1026
2	1080
2	1200
2	1361
2	1508
2	1510
2	1511
2	1558
2	1562
2	1583
2	1588
2	1650
2	1743
2	1990
2	1995
2	2026
2	2193
2	2597
2	2629
2	2639
2	2669
2	2720
2	2885
2	2990
2	3014
2	3163
2	3309
2	3316
2	3329
2	3337
2	3437
2	3553
2	3565
2	3586
2	3817
2	3931
2	3952
2	3958
2	3964
2	4016
2	4035
2	4069
2	4128
2	4237
2	4313
2	4353
2	4653
2	4803
2	4846
2	5047
2	5154
2	5155
2	5309
2	5597
2	5657
2	5806
2	5858
2	5864
2	5886
2	5908
2	6009
2	6462
2	6468
2	6606
2	6774
2	7001
2	7045
2	7050
2	7052
2	7083
2	7276
2	7301
2	7353
2	7372
2	7416
2	8626
2	8728
2	8764
2	8848
2	9114
2	9361
2	9510
2	10053
2	10263
2	10376
2	10724
2	10944
2	11051
2	11102
2	11140
2	11173
2	22976
2	22983
2	23154
2	23176
2	24138
2	26085
2	26270
2	29079
2	51013
2	51024
2	51162
2	51295
2	54850
2	55033
2	55118
2	55207
2	55729
2	56729
2	56983
2	57559
2	64146
2	64223
2	79006
2	79695
2	81792
2	84106
2	84279
2	93185
2	112398
2	115704
2	124912
2	126003
2	126074
2	140545
2	145864
2	204851
2	284161
2	284207
2	285203
2	548596
2	728642
9	3383
10	351
10	999
12	125
12	351
12	354
12	523
12	525
12	1215
12	1504
12	1506
12	1511
12	1990
12	1991
12	2064
12	2153
12	3211
12	3817
12	4001
12	4035
12	4312
12	4351
12	4485
12	4790
12	5309
12	5422
12	5684
12	6444
12	7545
12	9507
12	9622
12	10057
12	10319
12	11269
12	11330
12	26085
12	30834
12	55633
12	58516
12	64215
12	64794
12	65061
12	80262
12	81609
12	284161
13	6927
13	10513
14	427
14	1956
14	7514
14	8553
14	65125
15	8553
16	59
16	440
16	813
16	1017
16	1615
16	1933
16	2023
16	2113
16	2335
16	2617
16	3297
16	3320
16	3326
16	3376
16	3676
16	4234
16	4343
16	4677
16	4738
16	4914
16	5529
16	5859
16	6059
16	6613
16	6726
16	6777
16	6872
16	7163
16	7165
16	7316
16	7317
16	7341
16	7412
16	7453
16	7534
16	9636
16	9775
16	10040
16	10055
16	10056
16	10095
16	10482
16	10537
16	27101
16	29904
16	51194
16	51520
16	51547
16	54878
16	54888
16	55611
16	57037
16	60491
16	91039
18	432
18	1398
18	7915
18	9117
18	9531
18	55366
18	146050
18	339541
19	316
19	335
19	998
19	1387
19	1457
19	1459
19	1740
19	1741
19	1838
19	1956
19	2521
19	3984
19	4008
19	4609
19	5174
19	5360
19	5566
19	5970
19	5987
19	6390
19	6640
19	6641
19	6645
19	7052
19	7074
19	7316
19	7360
19	7376
19	7402
19	7508
19	8517
19	8572
19	8772
19	8777
19	8825
19	9146
19	9231
19	9318
19	9699
19	9826
19	10211
19	10558
19	10594
19	10987
19	23365
19	23673
19	25814
19	26154
19	27295
19	50944
19	51366
19	51678
19	51735
19	55327
19	57120
19	64130
19	84708
19	284723
20	1213
20	5445
21	483
21	821
22	351
22	5105
23	351
23	1660
23	2335
23	7514
23	23019
25	58
25	301
25	351
25	367
25	718
25	729
25	1499
25	1956
25	2335
25	2533
25	2810
25	2954
25	3312
25	3320
25	3326
25	3329
25	3336
25	3716
25	4233
25	4253
25	4638
25	4734
25	5295
25	5530
25	6709
25	7150
25	7514
25	8724
25	9043
25	9908
25	10075
25	10598
25	10728
25	23002
25	118788
25	127933
26	7073
26	8928
26	9802
26	23126
26	55093
26	84872
26	220002
26	284365
26	337879
26	348093
27	367
27	1956
27	3175
27	3312
27	3688
27	3716
27	4233
27	4734
27	5175
27	5295
27	6774
29	351
30	25921
30	51061
31	1315
31	1956
31	2335
31	3799
31	4939
31	7415
31	8518
31	57016
32	10075
33	351
34	801
34	2108
34	2109
34	3065
34	3725
34	4193
34	4738
34	4899
34	4914
34	6612
34	6613
34	6872
34	7316
34	8192
34	8452
34	10537
34	10868
34	11171
34	23197
34	23710
34	373509
34	387082
36	1956
36	3172
36	4738
36	6613
36	6872
36	7316
36	7837
36	8192
36	10537
36	10869
36	23197
36	23322
36	26123
36	54915
36	57096
36	57187
36	85302
37	999
37	10243
37	10988
37	26275
38	39
38	50
38	5885
38	7412
39	191
39	207
39	223
39	1045
39	1457
39	2271
39	2778
39	3073
39	3106
39	3149
39	4163
39	4343
39	4899
39	4914
39	5315
39	5564
39	6613
39	7013
39	7189
39	7316
39	7408
39	7416
39	7629
