AP,Layer,Component_Changes,LCC_Changes
2,1,18,0.001678890165238145
2288,1,5,0.0005301758416541569
397,1,2,0.0002650879208270229
727,1,2,0.0002650879208270229
1069,1,6,0.0006185384819298312
2244,1,8,0.0007952637624811798
3383,1,12,0.001148714323583988
10135,1,2,0.0002650879208270229
5934,1,72,0.006450472740125446
187,1,14,0.0013254396041353367
55366,1,17,0.0015905275249624706
2040,1,10,0.0009719890430326394
5885,1,22,0.002032340726340953
10075,1,12,0.001148714323583988
6772,1,6,0.0006185384819298312
1981,1,3,0.00035345056110280826
5565,1,21,0.0019439780860651679
2810,1,25,0.002297428647167976
6093,1,6,0.0006185384819298312
6711,1,4,0.00044181320137848257
1634,1,1,0.00017672528055134862
3570,1,5,0.0005301758416541569
8553,1,9,0.0008836264027569651
8291,1,4,0.00044181320137848257
1974,1,5,0.0005301758416541569
5320,1,4,0.00044181320137848257
319,1,1,0.00017672528055134862
1356,1,1,0.00017672528055134862
1549,1,1,0.00017672528055134862
1548,1,1,0.0002650879208270229
2114,1,5,0.0005301758416541569
567,1,6,0.0006185384819298312
3929,1,2,0.0002650879208270229
3034,1,6,0.0006185384819298312
107,1,1,0.00017672528055134862
2771,1,1,0.0002650879208270229
55699,1,6,0.0006185384819298312
4853,1,10,0.0009719890430326394
27232,1,3,0.00035345056110280826
1798,1,3,0.00035345056110280826
1317,1,2,0.0002650879208270229
51726,1,4,0.00044181320137848257
3081,1,1,0.00017672528055134862
6641,1,5,0.0005301758416541569
79026,1,3,0.00035345056110280826
5649,1,2,0.0002650879208270229
3960,1,3,0.00035345056110280826
1559,1,2,0.0002650879208270229
10376,1,6,0.0006185384819298312
10521,1,2,0.0002650879208270229
4774,1,1,0.00017672528055134862
3915,1,4,0.00044181320137848257
2645,1,3,0.00035345056110280826
2158,1,6,0.0006185384819298312
10527,1,3,0.00035345056110280826
6648,1,7,0.0007069011222055055
5507,1,1,0.00017672528055134862
221357,1,1,0.00017672528055134862
2939,1,1,0.0002650879208270229
1910,1,3,0.00035345056110280826
3122,1,7,0.0007069011222055055
3992,1,2,0.0002650879208270229
10269,1,6,0.0006185384819298312
64844,1,1,0.00017672528055134862
6891,1,1,0.00017672528055134862
9879,1,3,0.00035345056110280826
10250,1,3,0.00035345056110280826
9669,1,3,0.00035345056110280826
57088,1,10,0.0009719890430326394
3680,1,4,0.00044181320137848257
10769,1,12,0.001148714323583988
27333,1,3,0.00035345056110280826
10346,1,1,0.00017672528055134862
26084,1,1,0.00017672528055134862
23741,1,6,0.0006185384819298312
51109,1,1,0.00017672528055134862
11326,1,14,0.0013254396041353367
10150,1,2,0.0002650879208270229
51575,1,1,0.00017672528055134862
27230,1,2,0.0002650879208270229
9936,1,1,0.00017672528055134862
79971,1,2,0.0002650879208270229
6926,1,2,0.0002650879208270229
5371,1,1,0.00017672528055134862
23157,1,4,0.00044181320137848257
26959,1,2,0.0002650879208270229
54625,1,1,0.00017672528055134862
57187,1,9,0.0008836264027569651
1646,1,1,0.00017672528055134862
7373,1,4,0.00044181320137848257
23576,1,3,0.00035345056110280826
4128,1,2,0.0002650879208270229
11118,1,3,0.00035345056110280826
4060,1,1,0.00017672528055134862
4781,1,1,0.00017672528055134862
51280,1,9,0.0008836264027569651
7358,1,1,0.00017672528055134862
57186,1,2,0.0002650879208270229
5341,1,1,0.00017672528055134862
922,1,1,0.00017672528055134862
5309,1,1,0.0002650879208270229
6884,1,3,0.00035345056110280826
55970,1,1,0.00017672528055134862
9104,1,1,0.00017672528055134862
51582,1,2,0.0002650879208270229
26471,1,6,0.0006185384819298312
10060,1,1,0.00017672528055134862
3638,1,1,0.00017672528055134862
6720,1,1,0.00017672528055134862
54988,1,1,0.00017672528055134862
6906,1,1,0.00017672528055134862
25934,1,3,0.00035345056110280826
26275,1,2,0.0002650879208270229
55526,1,2,0.0002650879208270229
9703,1,1,0.00017672528055134862
55034,1,2,0.0002650879208270229
144348,1,1,0.00017672528055134862
11261,1,3,0.00035345056110280826
3703,1,2,0.0002650879208270229
54882,1,2,0.0002650879208270229
83752,1,4,0.00044181320137848257
51316,1,1,0.00017672528055134862
55022,1,3,0.00035345056110280826
170392,1,1,0.00017672528055134862
245973,1,4,0.00044181320137848257
30849,1,2,0.0002650879208270229
5858,1,1,0.00017672528055134862
27329,1,1,0.00017672528055134862
51129,1,1,0.00017672528055134862
10599,1,2,0.0002650879208270229
171546,1,2,0.0002650879208270229
27346,1,3,0.00035345056110280826
84102,1,1,0.00017672528055134862
8542,1,1,0.00017672528055134862
51449,1,2,0.0002650879208270229
115362,1,2,0.0002650879208270229
196527,1,2,0.0002650879208270229
9728,1,1,0.00017672528055134862
55605,1,6,0.0006185384819298312
388646,1,1,0.00017672528055134862
6360,1,2,0.0002650879208270229
29978,1,1,0.00017672528055134862
114908,1,1,0.00017672528055134862
26,1,2,0.0002650879208270229
6913,1,1,0.00017672528055134862
57016,1,1,0.00017672528055134862
54463,1,1,0.00017672528055134862
64167,1,1,0.00017672528055134862
53833,1,3,0.00035345056110280826
6309,1,1,0.00017672528055134862
10079,1,2,0.0002650879208270229
11015,1,2,0.0002650879208270229
55023,1,1,0.00017672528055134862
59342,1,1,0.00017672528055134862
155038,1,1,0.00017672528055134862
