GeneID,Symbol,Description,GeneType,EnsemblGeneID,Length
100287102,DDX11L1,DEAD/H-box helicase 11 like 1 (pseudogene),pseudo,ENSG00000290825,1652
653635,WASH7P,"WASP family homolog 7, pseudogene",pseudo,,1769
102466751,MIR6859-1,microRNA 6859-1,ncRNA,ENSG00000278267,68
107985730,MIR1302-2HG,MIR1302-2 host gene,ncRNA,,538
100302278,MIR1302-2,microRNA 1302-2,ncRNA,ENSG00000284332,138
645520,FAM138A,family with sequence similarity 138 member A,ncRNA,ENSG00000237613,1130
79501,OR4F5,olfactory receptor family 4 subfamily F member 5,protein-coding,ENSG00000186092,918
100996442,LOC100996442,WAS protein family homolog 2-like,ncRNA,,4894
729737,LOC729737,uncharacterized LOC729737,ncRNA,,5474
102725121,DDX11L17,DEAD/H-box helicase 11 like 17 (pseudogene),pseudo,,1607
102723897,WASH9P,"WAS protein family homolog 9, pseudogene",pseudo,,1761
102465909,MIR6859-2,microRNA 6859-2,ncRNA,,68
107985721,LOC107985721,,,,2706
112268260,LOC112268260,uncharacterized LOC112268260,protein-coding,,6593
729759,OR4F29,olfactory receptor family 4 subfamily F member 29,protein-coding,ENSG00000284733,939
100132287,LOC100132287,uncharacterized LOC100132287,ncRNA,,4370
105378947,LOC105378947,proline-rich extensin-like protein EPR1,protein-coding,,2343
101928626,LOC101928626,uncharacterized LOC101928626,ncRNA,ENSG00000230021,798
113219467,MIR12136,microRNA 12136,ncRNA,,71
81399,OR4F16,olfactory receptor family 4 subfamily F member 16,protein-coding,ENSG00000284662,5780
100133331,LOC100133331,replaced by ID 100288069,,,4273
107984841,LOC107984841,replaced by ID 100288069,,,926
107984847,LOC107984847,replaced by ID 100288069,,,485
107984849,LOC107984849,replaced by ID 100288069,,,280
100288069,LOC100288069,uncharacterized LOC100288069,ncRNA,,1371
105378580,LINC01409,long intergenic non-protein coding RNA 1409,ncRNA,,5138
400728,FAM87B,family with sequence similarity 87 member B,ncRNA,ENSG00000177757,1944
79854,LINC00115,long intergenic non-protein coding RNA 115,ncRNA,,1317
643837,LINC01128,long intergenic non-protein coding RNA 1128,ncRNA,ENSG00000228794,9233
107984850,LOC107984850,uncharacterized LOC107984850,ncRNA,ENSG00000288531,2454
284593,FAM41C,family with sequence similarity 41 member C,ncRNA,ENSG00000230368,1706
284600,LOC284600,uncharacterized LOC284600,ncRNA,,3858
100130417,LINC02593,long intergenic non-protein coding RNA 2593,ncRNA,ENSG00000223764,1506
107985728,LOC107985728,collagen alpha-1(III) chain-like,ncRNA,,3646
148398,SAMD11,sterile alpha motif domain containing 11,protein-coding,ENSG00000187634,2557
