0,gene,renum,From,To,Species,Gene Name,Finder_Score,Gene Symbol,Description_x,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link,GeneID,Symbol,Description_y,Synonyms,GeneType,EnsemblGeneID,Status,ChrAcc,ChrStart,ChrStop,Orientation,Length,GOFunctionID,GOProcessID,GOComponentID,GOFunction,GOProcess,GOComponent,Similarity,entry_id,K-Shell,Degree,PageRank,Betweenness,Collective_influence,AP,layer,connected component changes,LCC changes,Score_total
2,2,2,A2M,2,Homo sapiens,alpha-2-macroglobulin(A2M),0.64769616,A2M,Alpha-2-Macroglobulin,Protein Coding,P01023,59,GC12M009067,33.48358536,https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2M,2,A2M,alpha-2-macroglobulin,A2MD|CPAMD5|FWP007|S863-7,protein-coding,ENSG00000175899,active,NC_000012.12,9067708,9116229,negative,5416,GO:0002020///GO:0004866///GO:0004867///GO:0005102///GO:0005515///GO:0019838///GO:0019899///GO:0019959///GO:0019966///GO:0042802///GO:0043120///GO:0048306///GO:0048403///GO:0048406,GO:0001553///GO:0001869///GO:0002438///GO:0006953///GO:0007584///GO:0010037///GO:0010951///GO:0034695///GO:0048863///GO:0051384///GO:1990402,GO:0005576///GO:0005615///GO:0031093///GO:0062023///GO:0070062///GO:0072562,protease binding///endopeptidase inhibitor activity///serine-type endopeptidase inhibitor activity///signaling receptor binding///protein binding///growth factor binding///enzyme binding///interleukin-8 binding///interleukin-1 binding///identical protein binding///tumor necrosis factor binding///calcium-dependent protein binding///brain-derived neurotrophic factor binding///nerve growth factor binding,"luteinization///negative regulation of complement activation, lectin pathway///acute inflammatory response to antigenic stimulus///acute-phase response///response to nutrient///response to carbon dioxide///negative regulation of endopeptidase activity///response to prostaglandin E///stem cell differentiation///response to glucocorticoid///embryonic liver development",extracellular region///extracellular space///platelet alpha granule lumen///collagen-containing extracellular matrix///extracellular exosome///blood microparticle,0.25,2,10,26,0.00092059,0.002458187,22425,2,7,1,0.009884679,0.001600567
1198,3055,1198,HCK,3055,Homo sapiens,"HCK proto-oncogene, Src family tyrosine kinase(HCK)",0.70325787,HCK,"HCK Proto-Oncogene, Src Family Tyrosine Kinase",Protein Coding,P08631,62,GC20P032052,33.6374321,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCK,3055,HCK,"HCK proto-oncogene, Src family tyrosine kinase",JTK9|p59Hck|p61Hck,protein-coding,ENSG00000101336,active,NC_000020.11,32052242,32101843,positive,2218,GO:0001784///GO:0004713///GO:0004715///GO:0005102///GO:0005515///GO:0005524///GO:0008289,GO:0002522///GO:0002758///GO:0002862///GO:0006468///GO:0006954///GO:0007155///GO:0007169///GO:0007229///GO:0007498///GO:0008284///GO:0008360///GO:0018108///GO:0019221///GO:0030154///GO:0030838///GO:0031663///GO:0038096///GO:0043066///GO:0043299///GO:0045087///GO:0045728///GO:0046777///GO:0050727///GO:0050764///GO:0051090///GO:0051179///GO:0060333///GO:0071801///GO:2000251,GO:0005634///GO:0005764///GO:0005794///GO:0005829///GO:0005884///GO:0005886///GO:0005901///GO:0005925///GO:0030133///GO:0031234///GO:0042995///GO:0043231,phosphotyrosine residue binding///protein tyrosine kinase activity///non-membrane spanning protein tyrosine kinase activity///signaling receptor binding///protein binding///ATP binding///lipid binding,leukocyte migration involved in immune response///innate immune response-activating signaling pathway///negative regulation of inflammatory response to antigenic stimulus///protein phosphorylation///inflammatory response///cell adhesion///transmembrane receptor protein tyrosine kinase signaling pathway///integrin-mediated signaling pathway///mesoderm development///positive regulation of cell population proliferation///regulation of cell shape///peptidyl-tyrosine phosphorylation///cytokine-mediated signaling pathway///cell differentiation///positive regulation of actin filament polymerization///lipopolysaccharide-mediated signaling pathway///Fc-gamma receptor signaling pathway involved in phagocytosis///negative regulation of apoptotic process///leukocyte degranulation///innate immune response///respiratory burst after phagocytosis///protein autophosphorylation///regulation of inflammatory response///regulation of phagocytosis///regulation of DNA-binding transcription factor activity///localization///type II interferon-mediated signaling pathway///regulation of podosome assembly///positive regulation of actin cytoskeleton reorganization,nucleus///lysosome///Golgi apparatus///cytosol///actin filament///plasma membrane///caveola///focal adhesion///transport vesicle///extrinsic component of cytoplasmic side of plasma membrane///cell projection///intracellular membrane-bounded organelle,0.4,3055,15,45,0.001262692,0.003047104,92092,3055,8,1,0.003992016,0.001122967
1803,6097,1803,RORC,6097,Homo sapiens,RAR related orphan receptor C(RORC),0.1424813,RORC,RAR Related Orphan Receptor C,Protein Coding,P51449,56,GC01M151806,46.44549179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RORC,6097,RORC,RAR related orphan receptor C,IMD42|NR1F3|RORG|RZR-GAMMA|RZRG|TOR,protein-coding,ENSG00000143365,active,NC_000001.11,151806071,151832451,negative,4017,GO:0000978///GO:0000981///GO:0001227///GO:0003700///GO:0004879///GO:0005515///GO:0008142///GO:0008270///GO:0098531///GO:1990837,GO:0000122///GO:0006357///GO:0006805///GO:0010906///GO:0019218///GO:0030522///GO:0032922///GO:0036315///GO:0042753///GO:0045598///GO:0045893///GO:0060612///GO:0072539,GO:0000785///GO:0005634///GO:0005654///GO:0016604,"RNA polymerase II cis-regulatory region sequence-specific DNA binding///DNA-binding transcription factor activity, RNA polymerase II-specific///DNA-binding transcription repressor activity, RNA polymerase II-specific///DNA-binding transcription factor activity///nuclear receptor activity///protein binding///oxysterol binding///zinc ion binding///ligand-activated transcription factor activity///sequence-specific double-stranded DNA binding",negative regulation of transcription by RNA polymerase II///regulation of transcription by RNA polymerase II///xenobiotic metabolic process///regulation of glucose metabolic process///regulation of steroid metabolic process///intracellular receptor signaling pathway///circadian regulation of gene expression///cellular response to sterol///positive regulation of circadian rhythm///regulation of fat cell differentiation///positive regulation of DNA-templated transcription///adipose tissue development///T-helper 17 cell differentiation,chromatin///nucleus///nucleoplasm///nuclear body,0.75,6097,9,14,0.000459633,0.00033036,8684,6097,10,1,0.008510638,0.000909455
1461,29126,1461,CD274,29126,Homo sapiens,CD274 molecule(CD274),0.3460703,CD274,CD274 Molecule,Protein Coding,Q9NZQ7,58,GC09P005450,78.59754181,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274,29126,CD274,CD274 molecule,B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1|hPD-L1,protein-coding,ENSG00000120217,active,NC_000009.12,5450503,5470567,positive,3803,GO:0005515,GO:0002250///GO:0002845///GO:0006955///GO:0007165///GO:0007166///GO:0030335///GO:0031295///GO:0032689///GO:0032693///GO:0032733///GO:0034097///GO:0042102///GO:0042130///GO:0046006///GO:0046007///GO:0070232///GO:0071222///GO:1901998///GO:1903556///GO:1905399///GO:1905404///GO:2000562///GO:2001186,GO:0005654///GO:0005886///GO:0009897///GO:0015629///GO:0031901///GO:0055038///GO:0070062,protein binding,"adaptive immune response///positive regulation of tolerance induction to tumor cell///immune response///signal transduction///cell surface receptor signaling pathway///positive regulation of cell migration///T cell costimulation///negative regulation of type II interferon production///negative regulation of interleukin-10 production///positive regulation of interleukin-10 production///response to cytokine///positive regulation of T cell proliferation///negative regulation of T cell proliferation///regulation of activated T cell proliferation///negative regulation of activated T cell proliferation///regulation of T cell apoptotic process///cellular response to lipopolysaccharide///toxin transport///negative regulation of tumor necrosis factor superfamily cytokine production///regulation of activated CD4-positive, alpha-beta T cell apoptotic process///positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process///negative regulation of CD4-positive, alpha-beta T cell proliferation///negative regulation of CD8-positive, alpha-beta T cell activation",nucleoplasm///plasma membrane///external side of plasma membrane///actin cytoskeleton///early endosome membrane///recycling endosome membrane///extracellular exosome,0.666666667,29126,8,13,0.000467788,0.000142333,1788,29126,5,1,0.003389831,0.00078208
1713,5789,1713,PTPRD,5789,Homo sapiens,protein tyrosine phosphatase receptor type D(PTPRD),0.55057657,PTPRD,Protein Tyrosine Phosphatase Receptor Type D,Protein Coding,P23468,59,GC09M008307,31.38981628,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRD,5789,PTPRD,protein tyrosine phosphatase receptor type D,HPTP|HPTPD|HPTPDELTA|PTPD|R-PTP-delta|RPTPDELTA,protein-coding,ENSG00000153707,active,NC_000009.12,8314246,10613002,negative,13974,GO:0004725///GO:0005001///GO:0005102///GO:0005515///GO:0050839,GO:0006470///GO:0006796///GO:0007157///GO:0007185///GO:0030182///GO:0046426///GO:0050775///GO:0050776///GO:0050804///GO:0051965///GO:0097105///GO:0099054///GO:0099151///GO:0099545///GO:0099560,GO:0005886///GO:0042734///GO:0070062///GO:0098685///GO:0098686///GO:0098978,protein tyrosine phosphatase activity///transmembrane receptor protein tyrosine phosphatase activity///signaling receptor binding///protein binding///cell adhesion molecule binding,protein dephosphorylation///phosphate-containing compound metabolic process///heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules///transmembrane receptor protein tyrosine phosphatase signaling pathway///neuron differentiation///negative regulation of receptor signaling pathway via JAK-STAT///positive regulation of dendrite morphogenesis///regulation of immune response///modulation of chemical synaptic transmission///positive regulation of synapse assembly///presynaptic membrane assembly///presynapse assembly///regulation of postsynaptic density assembly///trans-synaptic signaling by trans-synaptic complex///synaptic membrane adhesion,plasma membrane///presynaptic membrane///extracellular exosome///Schaffer collateral - CA1 synapse///hippocampal mossy fiber to CA3 synapse///glutamatergic synapse,0.5,5789,7,15,0.000621952,0.001112761,6244,5789,4,1,0.002714932,0.000747389
2337,7421,2337,VDR,7421,Homo sapiens,vitamin D receptor(VDR),0.67519092,VDR,Vitamin D Receptor,Protein Coding,P11473,62,GC12M047841,99.67064667,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR,7421,VDR,vitamin D receptor,NR1I1|PPP1R163,protein-coding,ENSG00000111424,active,NC_000012.12,47841537,47905031,negative,5166,GO:0000978///GO:0000981///GO:0003676///GO:0003677///GO:0003700///GO:0004879///GO:0005515///GO:0008270///GO:0036094///GO:0038186///GO:0046965///GO:0070644///GO:1902098///GO:1902121,GO:0000122///GO:0000902///GO:0001501///GO:0006816///GO:0006874///GO:0007275///GO:0007595///GO:0008285///GO:0010628///GO:0010839///GO:0010980///GO:0030154///GO:0030501///GO:0038183///GO:0042789///GO:0045618///GO:0045892///GO:0045944///GO:0046697///GO:0050892///GO:0060057///GO:0060058///GO:0060558///GO:0060745///GO:0070561///GO:0070564,GO:0000785///GO:0005634///GO:0005654///GO:0005829///GO:0043235///GO:0090575,"RNA polymerase II cis-regulatory region sequence-specific DNA binding///DNA-binding transcription factor activity, RNA polymerase II-specific///nucleic acid binding///DNA binding///DNA-binding transcription factor activity///nuclear receptor activity///protein binding///zinc ion binding///small molecule binding///lithocholic acid receptor activity///nuclear retinoid X receptor binding///vitamin D response element binding///calcitriol binding///lithocholic acid binding",negative regulation of transcription by RNA polymerase II///cell morphogenesis///skeletal system development///calcium ion transport///cellular calcium ion homeostasis///multicellular organism development///lactation///negative regulation of cell population proliferation///positive regulation of gene expression///negative regulation of keratinocyte proliferation///positive regulation of vitamin D 24-hydroxylase activity///cell differentiation///positive regulation of bone mineralization///bile acid signaling pathway///mRNA transcription by RNA polymerase II///positive regulation of keratinocyte differentiation///negative regulation of DNA-templated transcription///positive regulation of transcription by RNA polymerase II///decidualization///intestinal absorption///apoptotic process involved in mammary gland involution///positive regulation of apoptotic process involved in mammary gland involution///regulation of calcidiol 1-monooxygenase activity///mammary gland branching involved in pregnancy///vitamin D receptor signaling pathway///positive regulation of vitamin D receptor signaling pathway,chromatin///nucleus///nucleoplasm///cytosol///receptor complex///RNA polymerase II transcription regulator complex,0.125,7421,14,38,0.001074939,0.001224159,79550,7421,10,1,0.008510638,0.000718288
390,1003,390,CDH5,1003,Homo sapiens,cadherin 5(CDH5),0.6226768,CDH5,Cadherin 5,Protein Coding,P33151,59,GC16P066366,36.3510437,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH5,1003,CDH5,cadherin 5,7B4|CD144,protein-coding,ENSG00000179776,active,NC_000016.10,66366657,66404784,positive,4120,GO:0005102///GO:0005509///GO:0005515///GO:0008013///GO:0019903///GO:0043184///GO:0044325///GO:0045296///GO:0070051///GO:0070700///GO:1990782,GO:0000902///GO:0001932///GO:0001944///GO:0001955///GO:0006874///GO:0007043///GO:0007156///GO:0007179///GO:0007275///GO:0008285///GO:0010628///GO:0016339///GO:0030335///GO:0030513///GO:0031115///GO:0031334///GO:0034332///GO:0035307///GO:0035633///GO:0043114///GO:0043534///GO:0044331///GO:0045766///GO:0050728///GO:0070830///GO:0098609///GO:0098742///GO:1902396///GO:1903142///GO:2000114///GO:2000352,GO:0005654///GO:0005886///GO:0005911///GO:0005912///GO:0005923///GO:0009897///GO:0009986///GO:0016020///GO:0016342///GO:0030054///GO:0031965,signaling receptor binding///calcium ion binding///protein binding///beta-catenin binding///protein phosphatase binding///vascular endothelial growth factor receptor 2 binding///transmembrane transporter binding///cadherin binding///fibrinogen binding///BMP receptor binding///protein tyrosine kinase binding,cell morphogenesis///regulation of protein phosphorylation///vasculature development///blood vessel maturation///cellular calcium ion homeostasis///cell-cell junction assembly///homophilic cell adhesion via plasma membrane adhesion molecules///transforming growth factor beta receptor signaling pathway///multicellular organism development///negative regulation of cell population proliferation///positive regulation of gene expression///calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules///positive regulation of cell migration///positive regulation of BMP signaling pathway///negative regulation of microtubule polymerization///positive regulation of protein-containing complex assembly///adherens junction organization///positive regulation of protein dephosphorylation///maintenance of blood-brain barrier///regulation of vascular permeability///blood vessel endothelial cell migration///cell-cell adhesion mediated by cadherin///positive regulation of angiogenesis///negative regulation of inflammatory response///bicellular tight junction assembly///cell-cell adhesion///cell-cell adhesion via plasma-membrane adhesion molecules///protein localization to bicellular tight junction///positive regulation of establishment of endothelial barrier///regulation of establishment of cell polarity///negative regulation of endothelial cell apoptotic process,nucleoplasm///plasma membrane///cell-cell junction///adherens junction///bicellular tight junction///external side of plasma membrane///cell surface///membrane///catenin complex///cell junction///nuclear membrane,0.333333333,1003,11,25,0.000765722,0.000729341,19368,1003,5,1,0.003389831,0.00070359
1655,5580,1655,PRKCD,5580,Homo sapiens,protein kinase C delta(PRKCD),0.78445488,PRKCD,Protein Kinase C Delta,Protein Coding,Q05655,66,GC03P053156,68.5389328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCD,5580,PRKCD,protein kinase C delta,ALPS3|CVID9|MAY1|PKCD|nPKC-delta,protein-coding,ENSG00000163932,active,NC_000003.12,53161209,53192717,positive,3136,GO:0004672///GO:0004674///GO:0004697///GO:0004698///GO:0004699///GO:0004715///GO:0005515///GO:0005524///GO:0008047///GO:0019899///GO:0019901///GO:0043560///GO:0046872///GO:0106310,GO:0006468///GO:0006915///GO:0007049///GO:0007165///GO:0008631///GO:0010469///GO:0016064///GO:0018105///GO:0018107///GO:0018108///GO:0023021///GO:0030837///GO:0032079///GO:0032091///GO:0032147///GO:0032930///GO:0032956///GO:0034351///GO:0034644///GO:0035307///GO:0035556///GO:0038096///GO:0042100///GO:0042119///GO:0042307///GO:0042742///GO:0043407///GO:0043488///GO:0043687///GO:0046627///GO:0050728///GO:0050732///GO:0050821///GO:0051490///GO:0060326///GO:0070301///GO:0071447///GO:0090331///GO:0090398///GO:1900163///GO:1904385///GO:2000303///GO:2000304///GO:2000753///GO:2000755///GO:2001022///GO:2001235,GO:0005576///GO:0005634///GO:0005654///GO:0005737///GO:0005739///GO:0005783///GO:0005829///GO:0005886///GO:0005911///GO:0016363///GO:0035578///GO:0036019///GO:0048471///GO:0070062,protein kinase activity///protein serine/threonine kinase activity///protein kinase C activity///calcium-dependent protein kinase C activity///calcium-independent protein kinase C activity///non-membrane spanning protein tyrosine kinase activity///protein binding///ATP binding///enzyme activator activity///enzyme binding///protein kinase binding///insulin receptor substrate binding///metal ion binding///protein serine kinase activity,protein phosphorylation///apoptotic process///cell cycle///signal transduction///intrinsic apoptotic signaling pathway in response to oxidative stress///regulation of signaling receptor activity///immunoglobulin mediated immune response///peptidyl-serine phosphorylation///peptidyl-threonine phosphorylation///peptidyl-tyrosine phosphorylation///termination of signal transduction///negative regulation of actin filament polymerization///positive regulation of endodeoxyribonuclease activity///negative regulation of protein binding///activation of protein kinase activity///positive regulation of superoxide anion generation///regulation of actin cytoskeleton organization///negative regulation of glial cell apoptotic process///cellular response to UV///positive regulation of protein dephosphorylation///intracellular signal transduction///Fc-gamma receptor signaling pathway involved in phagocytosis///B cell proliferation///neutrophil activation///positive regulation of protein import into nucleus///defense response to bacterium///negative regulation of MAP kinase activity///regulation of mRNA stability///post-translational protein modification///negative regulation of insulin receptor signaling pathway///negative regulation of inflammatory response///negative regulation of peptidyl-tyrosine phosphorylation///protein stabilization///negative regulation of filopodium assembly///cell chemotaxis///cellular response to hydrogen peroxide///cellular response to hydroperoxide///negative regulation of platelet aggregation///cellular senescence///positive regulation of phospholipid scramblase activity///cellular response to angiotensin///regulation of ceramide biosynthetic process///positive regulation of ceramide biosynthetic process///positive regulation of glucosylceramide catabolic process///positive regulation of sphingomyelin catabolic process///positive regulation of response to DNA damage stimulus///positive regulation of apoptotic signaling pathway,extracellular region///nucleus///nucleoplasm///cytoplasm///mitochondrion///endoplasmic reticulum///cytosol///plasma membrane///cell-cell junction///nuclear matrix///azurophil granule lumen///endolysosome///perinuclear region of cytoplasm///extracellular exosome,0.111111111,5580,15,73,0.0020852,0.006236655,202608,5580,5,2,0.007909605,0.000689414
898,2243,898,FGA,2243,Homo sapiens,fibrinogen alpha chain(FGA),0.16582393,FGA,Fibrinogen Alpha Chain,Protein Coding,P02671,63,GC04M154583,54.07053757,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGA,2243,FGA,fibrinogen alpha chain,Fib2,protein-coding,ENSG00000171560,active,NC_000004.12,154583126,154590742,negative,3917,GO:0005102///GO:0005198///GO:0005201///GO:0005515///GO:0046872///GO:0050839,GO:0002250///GO:0007160///GO:0031639///GO:0034116///GO:0042730///GO:0043152///GO:0045087///GO:0045907///GO:0045921///GO:0050714///GO:0051258///GO:0051592///GO:0065003///GO:0070374///GO:0070527///GO:0072377///GO:0072378///GO:0090277///GO:1900026///GO:1902042///GO:2000352,GO:0005576///GO:0005577///GO:0005615///GO:0005783///GO:0005788///GO:0005886///GO:0009897///GO:0009986///GO:0031091///GO:0031093///GO:0062023///GO:0070062///GO:0072562///GO:1903561,signaling receptor binding///structural molecule activity///extracellular matrix structural constituent///protein binding///metal ion binding///cell adhesion molecule binding,"adaptive immune response///cell-matrix adhesion///plasminogen activation///positive regulation of heterotypic cell-cell adhesion///fibrinolysis///induction of bacterial agglutination///innate immune response///positive regulation of vasoconstriction///positive regulation of exocytosis///positive regulation of protein secretion///protein polymerization///response to calcium ion///protein-containing complex assembly///positive regulation of ERK1 and ERK2 cascade///platelet aggregation///blood coagulation, common pathway///blood coagulation, fibrin clot formation///positive regulation of peptide hormone secretion///positive regulation of substrate adhesion-dependent cell spreading///negative regulation of extrinsic apoptotic signaling pathway via death domain receptors///negative regulation of endothelial cell apoptotic process",extracellular region///fibrinogen complex///extracellular space///endoplasmic reticulum///endoplasmic reticulum lumen///plasma membrane///external side of plasma membrane///cell surface///platelet alpha granule///platelet alpha granule lumen///collagen-containing extracellular matrix///extracellular exosome///blood microparticle///extracellular vesicle,0.5,2243,10,15,0.000502789,0.000248298,7630,2243,9,1,0.007751938,0.000642728
1918,6502,1918,SKP2,6502,Homo sapiens,S-phase kinase associated protein 2(SKP2),0.63480432,SKP2,S-Phase Kinase Associated Protein 2,Protein Coding,Q13309,58,GC05P036151,46.81448364,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKP2,6502,SKP2,S-phase kinase associated protein 2,FBL1|FBXL1|FLB1|p45,protein-coding,ENSG00000145604,active,NC_000005.10,36152043,36184319,positive,6340,GO:0005515///GO:0042802,GO:0000082///GO:0000086///GO:0031146///GO:0033148///GO:0042981///GO:0043161///GO:0045087///GO:0051607///GO:0051726///GO:0070936///GO:1902916,GO:0005634///GO:0005654///GO:0005730///GO:0005829///GO:0019005,protein binding///identical protein binding,G1/S transition of mitotic cell cycle///G2/M transition of mitotic cell cycle///SCF-dependent proteasomal ubiquitin-dependent protein catabolic process///positive regulation of intracellular estrogen receptor signaling pathway///regulation of apoptotic process///proteasome-mediated ubiquitin-dependent protein catabolic process///innate immune response///defense response to virus///regulation of cell cycle///protein K48-linked ubiquitination///positive regulation of protein polyubiquitination,nucleus///nucleoplasm///nucleolus///cytosol///SCF ubiquitin ligase complex,0.111111111,6502,14,31,0.000951855,0.002552842,43560,6502,6,2,0.008163265,0.000575786
