gene_id,renum,From,Species,Gene Name,Score,AP,layer,connected component changes,LCC changes
351,161,APP,Homo sapiens,amyloid beta precursor protein(APP),0.99196791,351,1,28,0.01171717171717168
3172,1243,HNF4A,Homo sapiens,hepatocyte nuclear factor 4 alpha(HNF4A),0.96885338,3172,1,28,0.01252525252525249
6872,2143,TAF1,Homo sapiens,TATA-box binding protein associated factor 1(TAF1),0.94053953,6872,1,18,0.007676767676767726
2885,1148,GRB2,Homo sapiens,growth factor receptor bound protein 2(GRB2),0.92344275,2885,1,8,0.00363636363636366
4149,1419,MAX,Homo sapiens,MYC associated factor X(MAX),0.91649381,4149,2,9,0.005923532579429236
8452,118,CUL3,Homo sapiens,cullin 3(CUL3),0.91264463,8452,1,4,0.002020202020202033
3065,1203,HDAC1,Homo sapiens,histone deacetylase 1(HDAC1),0.9080363,3065,1,2,0.001616161616161627
6714,2067,SRC,Homo sapiens,"SRC proto-oncogene, non-receptor tyrosine kinase(SRC)",0.90497089,6714,1,1,0.0008080808080808133
1956,757,EGFR,Homo sapiens,epidermal growth factor receptor(EGFR),0.90343996,1956,1,1,0.0008080808080808133
5578,1653,PRKCA,Homo sapiens,protein kinase C alpha(PRKCA),0.900382,5578,1,3,0.001616161616161627
6045,1785,RNF2,Homo sapiens,ring finger protein 2(RNF2),0.89732922,6045,2,1,0.001077005923532548
1017,395,CDK2,Homo sapiens,cyclin dependent kinase 2(CDK2),0.89656684,1017,1,2,0.00121212121212122
7014,2221,TERF2,Homo sapiens,telomeric repeat binding factor 2(TERF2),0.89352054,7014,1,3,0.001616161616161627
2335,944,FN1,Homo sapiens,fibronectin 1(FN1),0.88820297,2335,1,1,0.0008080808080808133
8454,119,CUL1,Homo sapiens,cullin 1(CUL1),0.88592845,8454,1,2,0.00121212121212122
5777,1706,PTPN6,Homo sapiens,protein tyrosine phosphatase non-receptor type 6(PTPN6),0.8829003,5777,1,1,0.0008080808080808133
5295,1582,PIK3R1,Homo sapiens,phosphoinositide-3-kinase regulatory subunit 1(PIK3R1),0.87987733,5295,2,2,0.002154011847065207
2534,1010,FYN,Homo sapiens,"FYN proto-oncogene, Src family tyrosine kinase(FYN)",0.87686052,2534,2,2,0.001615508885298822
5594,1663,MAPK1,Homo sapiens,mitogen-activated protein kinase 1(MAPK1),0.87460058,5594,1,2,0.00121212121212122
801,309,CALM1,Homo sapiens,calmodulin 1(CALM1),0.87159187,801,1,4,0.002020202020202033
7412,2334,VCAM1,Homo sapiens,vascular cell adhesion molecule 1(VCAM1),0.8663391,7412,1,2,0.00121212121212122
4088,1407,SMAD3,Homo sapiens,SMAD family member 3(SMAD3),0.86409277,4088,1,1,0.0008080808080808133
7531,2367,YWHAE,Homo sapiens,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon(YWHAE),0.86259684,7531,1,1,0.0008080808080808133
51741,1033,WWOX,Homo sapiens,WW domain containing oxidoreductase(WWOX),0.85960886,51741,2,1,0.001077005923532548
6850,2135,SYK,Homo sapiens,spleen associated tyrosine kinase(SYK),0.85811682,6850,1,1,0.0008080808080808133
1457,531,CSNK2A1,Homo sapiens,casein kinase 2 alpha 1(CSNK2A1),0.85662607,1457,2,2,0.001615508885298822
10075,731,HUWE1,Homo sapiens,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1(HUWE1)",0.85588118,10075,2,5,0.003769520732364029
