Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
TP53,Tumor Protein P53,Protein Coding,P04637,66,GC17M007661,274.7835693,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
ATM,ATM Serine/Threonine Kinase,Protein Coding,Q13315,66,GC11P108223,176.0740051,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM
TNF,Tumor Necrosis Factor,Protein Coding,P01375,65,GC06P144764,172.8851318,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF
BRCA2,BRCA2 DNA Repair Associated,Protein Coding,P51587,60,GC13P032315,165.87146,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2
PTEN,Phosphatase And Tensin Homolog,Protein Coding,P60484,65,GC10P112611,164.4457855,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
IL6,Interleukin 6,Protein Coding,P05231,64,GC07P022725,161.7298737,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
CTNNB1,Catenin Beta 1,Protein Coding,P35222,66,GC03P041194,160.8268433,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,P40763,67,GC17M042313,160.7046356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
EGFR,Epidermal Growth Factor Receptor,Protein Coding,P00533,68,GC07P055019,159.0245209,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR
TGFB1,Transforming Growth Factor Beta 1,Protein Coding,P01137,66,GC19M041301,157.9306488,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,P31749,66,GC14M104769,154.7298889,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1
CHEK2,Checkpoint Kinase 2,Protein Coding,O96017,67,GC22M028687,148.4540558,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2
INS,Insulin,Protein Coding,P01308,60,GC11M002159,146.77211,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS
CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,Q8N726,64,GC09M021967,145.2778931,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A
KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,P01116,66,GC12M031027,142.2030029,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS
ESR1,Estrogen Receptor 1,Protein Coding,P03372,67,GC06P151656,140.7193909,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1
MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",Protein Coding,P01106,66,GC08P127735,138.6757202,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC
CDH1,Cadherin 1,Protein Coding,P12830,62,GC16P068737,137.072525,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1
AR,Androgen Receptor,Protein Coding,P10275,64,GC0XP067544,136.8598633,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR
MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,P42345,68,GC01M011106,136.0302887,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR
ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,P04626,68,GC17P039687,135.6104431,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2
IFNG,Interferon Gamma,Protein Coding,P01579,63,GC12M068154,134.1725464,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,P28482,66,GC22M021759,132.0535431,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1
IL1B,Interleukin 1 Beta,Protein Coding,P01584,60,GC02M112829,131.9062347,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B
APC,APC Regulator Of WNT Signaling Pathway,Protein Coding,P25054,62,GC05P112707,131.8614197,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC
HRAS,"HRas Proto-Oncogene, GTPase",Protein Coding,P01112,65,GC11M012501,131.2147369,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS
IL10,Interleukin 10,Protein Coding,P22301,60,GC01M206767,130.4863281,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10
PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,P37231,66,GC03P012287,130.1517181,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG
ACE,Angiotensin I Converting Enzyme,Protein Coding,P12821,64,GC17P063477,129.5953522,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE
NOTCH1,Notch Receptor 1,Protein Coding,P46531,66,GC09M138850,126.8324051,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,P15692,61,GC06P043770,126.7375259,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
